image_id,A,B,C
00001.jpg,-3.038290500640869,-1.8897532224655151,4.609228610992432
00006.jpg,4.660438060760498,0.884655237197876,-5.173296928405762
00011.jpg,-2.5321192741394043,4.289882659912109,-1.9046522378921509
00016.jpg,3.9302029609680176,0.4218387007713318,-3.998000383377075
00025.jpg,-5.280513286590576,-1.5577696561813354,6.535783767700195
00028.jpg,3.257406711578369,0.74664705991745,-3.8615903854370117
00034.jpg,2.8587732315063477,1.2622804641723633,-4.096616744995117
00035.jpg,2.2923498153686523,1.7452512979507446,-3.6331279277801514
00042.jpg,4.4139084815979,0.15287603437900543,-4.374367713928223
00043.jpg,-0.8945400714874268,2.749596357345581,-2.004931688308716
00046.jpg,2.643911123275757,1.3510775566101074,-3.7747395038604736
00066.jpg,6.701571464538574,0.19886785745620728,-6.590644359588623
00074.jpg,-5.950479507446289,-0.9770810604095459,6.440405368804932
00079.jpg,1.4819073677062988,-0.8833328485488892,-0.5478565692901611
00083.jpg,3.4469730854034424,-0.2004675567150116,-3.0768613815307617
00088.jpg,0.4793001115322113,2.8776257038116455,-3.317068099975586
00090.jpg,3.5019075870513916,-0.7560884952545166,-2.7708165645599365
00095.jpg,-6.611387729644775,-0.19144240021705627,6.434626579284668
00098.jpg,2.8735809326171875,1.0449535846710205,-3.845052480697632
00106.jpg,3.2454113960266113,0.03271299600601196,-3.1771223545074463
00114.jpg,2.2703399658203125,-0.11317482590675354,-2.019158363342285
00120.jpg,3.6413817405700684,0.2880539000034332,-3.6992242336273193
00124.jpg,3.61946964263916,-0.3831770718097687,-3.2101972103118896
00135.jpg,2.8348536491394043,1.2827486991882324,-3.784287691116333
00137.jpg,4.915924549102783,1.1994144916534424,-5.829952239990234
00138.jpg,2.1103620529174805,-0.41263899207115173,-1.9073641300201416
00146.jpg,2.111785888671875,1.5963557958602905,-3.500408411026001
00151.jpg,-5.508819580078125,-0.46255096793174744,6.055464744567871
00155.jpg,-4.068089962005615,1.3567330837249756,2.621885061264038
00156.jpg,-3.1576592922210693,-1.2265228033065796,3.9963932037353516
00159.jpg,0.8141674995422363,0.5777542591094971,-1.36202871799469
00168.jpg,2.0901899337768555,1.457693338394165,-3.4789862632751465
00169.jpg,-6.300882816314697,3.4724602699279785,2.65224552154541
00173.jpg,4.312845230102539,0.050613462924957275,-4.2554097175598145
00182.jpg,-0.6042200326919556,3.1323399543762207,-2.6339375972747803
00185.jpg,-4.539993762969971,3.124552011489868,0.9462449550628662
00186.jpg,1.5149052143096924,-0.06567957997322083,-1.3475849628448486
